ID,Header,Content,Time,Time since occasion,Comments,Likes,Link,label,news refutation,Topic
11,,#СИРИЯ Минобороны России публикует неоспоримое подтверждение обеспечения Соединенными Штатами прикрытия боеспособных отрядов ИГИЛ для использования их в продвижении американских интересов на Ближнем Востоке,14/11/2017,,,,https://twitter.com/mod_russia/status/930466530600636416,fake,,Сирия
12,,"Минобороны России в качестве доказательства сотрудничества США с ИГ опубликовало скриншот из мобильной игры ""AC-130 Gunship Simulator: Special Ops Squadron""",14 /11/2017,,,,https://twitter.com/CITeam_ru/status/930389398893588481,refutation,,Сирия
13,У Посольства США в Москве образовалась огромная очередь за визами,"У Посольства США в Москве выстроилась огромная очередь из тех, кто желает получить американскую визу или информацию перед объявленным дипломатами перерывом до 1 сентября. Об этом сообщает РИА ""Новости"".
Сейчас у здания диппредставительства стоят и те, кто приглашён на собеседование, и те, кто пришёл уже за готовыми документами.
Напомним, сегодня последний день, когда американские дипломаты выдают визы. Затем будет перерыв до 1 сентября, причём процедура возобновится только в Москве. Что касается консульств в регионах, то там выдача неиммиграционных виз приостановлена на неопределённый срок.",22/08/2017,,,,https://life.ru/t/новости/1037239/u_posolstva_ssha_v_moskvie_obrazovalas_oghromnaia_ochieried_za_vizami,fake,,США
14,Последний день: перед посольством США выстроилась гигантская очередь,"На Новинском бульваре в Москве выстроилась огромная очередь желающих получить американскую визу. Вторник, 22 августа, —  последний день, когда их будет выдавать посольство США, затем последует перерыв до 1 сентября.
Подача заявки на визу происходит онлайн. В длинной очереди стоят те, кто должен пройти собеседование или уже пришел за готовой визой. Люди надеются, что успеют получить ее до перерыва. После проверки документов, в том числе, вызова в посольство, соискателей пропускают внутрь здания, передает РИА Новости.
Один из них рассказал, что через неделю собирается к друзьям во Флориду. Уже есть билеты, потому что они нужны для получения визы. Сегодня назначили собеседование. ""Я рассчитывал через пару дней получить визу. Теперь не знаю, удастся ли это сделать"", — говорит стоящий в очереди турист. ""Возможно, придется менять билеты"", — добавляет он.
Несколько человек, которые пришли за готовыми визами, радуются, что успели их получить. Также к посольству подходят люди, чтобы уточнить консульскую информацию на стендах. Однако никаких объявлений об изменении выдачи виз на них нет. Жительница Москвы Елена, которая собирается поехать в Бостон, рассказала, что собиралась прийти в посольство через два дня. Однако теперь она не понимает, как ей получить визу.
Посольство США сообщило, что с 23 августа приостановит на неопределенный срок процедуру выдачи неиммиграционных виз США по всей России. Первого сентября эта процедура возобновится. Но только в Москве. Собеседования для получения неиммиграционной визы в консульствах США в Санкт-Петербурге, Екатеринбурге и Владивостоке будут приостановлены.
Москва ранее предписала сократить дипломатические миссии США в РФ на 755 человек — до 455 сотрудников. РФ приравняла количество служащих посольства США в России к числу работающих в дипмиссии РФ в Соединенных Штатах. Также с 1 августа Москва приостановила использование американским посольством складских помещений на Дорожной улице в российской столице и посольской дачи в Серебряном бору. Эти меры стали ответом на новые антироссийские санкции.",22/08/2017,,,,https://www.vesti.ru/doc.html?id=2923536,fake,,Визы в США
15,"Иранка сделала 50 операций, чтобы стать похожей на Анджелину Джоли","В Иране 19-летняя Сахар Табар заявила, что ""готова на все"", чтобы выглядеть как Анджелина Джоли.
СМИ сообщают, что Сахар похудела на 40 килограммов и перенесла 50 пластических операций, чтобы получить пухлые губы и точеные скулы, как у Джоли. Однако поклонники девушки утверждают, что ее внешность — результат макияжа.
Сейчас у Сахар 340 000 подписчиков в Instagram. В основном на странице оставляют негативные комментарии: ""Ужас, ты выглядишь как зомби"", ""Ходячие мертвецы"" или ""Хэллоуин окончен, скоро Рождество"". Многие сравнивают ее с героиней мультфильма Тима Бертона ""Труп невесты"": Не так давно девушка сама выложила ее изображение в формате сториз.",30/11/2017,,,,https://ria.ru/20171130/1509961316.html?inj=1,Fake,,Знаменитости
16,В Киеве хотят устроить блицкриг до Красной площади,"Бывший глава избирательного штаба Виктора Януковича и экс-депутат Верховной рады Тарас Черновол заявил, что Украина должна провести блицкриг и завоевать Москву. Так он прокомментировал в интервью телеканалу ZIK выборы в Донбассе.
""Занять эти территории мы не можем по одной причине — потому что закончить блицкриг необходимо не в Донецке, а на Красной площади в Москве"", — заявил Черновол.
Вместе с тем он признал, что Киев пока не может этого сделать, поэтому приходится действовать через дипломатию и санкции, передает РИА Новости.
Ранее украинский депутат Игорь Мосийчук пригрозил России ""новой украинской оккупацией"" и разделом между ""странами-победителями"", так как в лице Украины русские разбудили ""нацию воинов"". По его мнению, в 1612 году Москву освобождали не от поляков, а от украинских казаков.",14/11/2018,,,,https://www.vesti.ru/doc.html?id=3082823&cid=9#,Fake,,Украина
17,Стало известно о попытке Родченкова покончить с собой,"Информатор WADA Григорий Родченков пытался покончить жизнь самоубийством в квартире в Вашингтоне, которую для него арендует ФБР. Об этом RT сообщил вице-президент российского подразделения Международного комитета защиты прав человека Александр Ионов.  «Информация получена от моих коллег из США по линии комитета. Информация сильно скрывается американскими спецслужбами, чтобы не просочилась в прессу», — цитирует Telegram-канал RT Ионова.
По его словам, инцидент произошёл 19 июня. Бывшего директора Московской антидопинговой лаборатории обнаружили сотрудники ФБР, которые вызвали службу спасения «911». Информатор WADA был доставлен в психоневрологическую клинику.
В квартире были найдены пустые бутылки из-под виски и шесть упаковок сильных транквилизаторов.
«Я думаю, что Родченков сейчас испытывает сильное внутреннее напряжение и прессинг, которые на него оказывает американское правосудие и американские спецслужбы. Они заставляют его всячески свидетельствовать против России. Видимо, у него сдали нервы после таких серьёзных обвинений и всего того шума, который был поднят вокруг его персоны», — добавил Ионов.
В 2016 году в отношении Родченкова было возбуждено уголовное дело о злоупотреблении полномочиями. В ноябре 2017 года СК возбудил дело о воспрепятствовании производству предварительного расследования.",27/07/2018,,,,https://russian.rt.com/sport/news/529741-popytka-rodchenkov-samoubiistvo,Fake,,Спорт
18,Четырехсторонний саммит превратил Стамбул в центр мировой политики,"Евросоюз — еще один новый дом для сирийских беженцев. В Германии их около миллиона человек. Недаром в Стамбуле канцлер Меркель много говорила о создании условий для возвращения беженцев к родным очагам. Пример тому — Идлиб — около 80 тысяч человек вернулись в свои дома после того, как там организовали демилитаризованную зону.
""Сейчас мы можем констатировать, что удалось достичь значительного прогресса в демилитаризации зон в Идлибе. Это большой успех, и его нужно развивать"", — заявила Ангела Меркель.
Идлиб — единственная часть страны, которую правительственным силам еще не удалось полностью взять под свой контроль.
""Россия оставляет за собой право поддержать сирийское правительство, если из идлибской зоны террористы будут осуществлять провокации. За последние полтора-два месяца наши силы ПВО сбили возле нашей базы Хмеймим 50 летальных аппаратов, но все, что мы делаем с нашими турецкими партнерами и друзьями по этому направлению, соответствует целям, которые мы перед собой поставили"", — сказал Владимир Путин.",28/10/2018,,,,http://vesti7.ru/article/1085105/episode/28-10-2018/,Half-Fake,https://www.stopfake.org/fejk-vestej-nedeli-rezhim-asada-kontroliruet-vsyu-territoriyu-sirii-krome-provintsii-idlib/,Сирия 
19,Международный суд ООН частично удовлетворил иск Ирана к США,"Международный суд ООН принял предварительное постановление, которое частично удовлетворяет иск Ирана к США по поводу возобновления санкций.
По мнению Тегерана, действия Вашингтона нарушают положения договора о дружбе, экономических связях и консульских правах.
Суд считает, что две страны не приложили достаточных усилий для урегулирования спора дипломатическим путем. Там призвали обе стороны воздержаться от действий, которые могут осложнить ситуацию.
В решении говорится, что в соответствии с положениями договора о дружбе от 1955 года США должны ”устранить все преграды“, которые появились после 8 мая 2018 года, для свободного экспорта в Иран ”медикаментов и медицинского оборудования, минеральных удобрений и сельскохозяйственной продукции, запчастей и оборудования, в частности, для обеспечения технической исправности и ремонта, необходимых для безопасности гражданской авиации",3/10/18,,,,https://ria.ru/20181003/1529868482.html,Fake,https://theins.ru/antifake/120294,Политика
20,Новая религия США: почему американцы все больше любят Путина и Россию,"Вначале новости. ""Нью-Йорк Таймс"" констатирует, что в США формируется новая религия. Вернее, обновленная старая — язычество.
Автор статьи, католик, очень сильно сдерживаясь, перечисляет банальные факты.
Первый: налицо драматическое падение числа христиан в самой христианской стране развитого Запада (это правда: всего за 14 лет процент христианского населения в США упал с 83 до 72 процентов, по другим оценкам — до 69 процентов).
Второй: отваливающиеся от христианства граждане, как правило, не становятся истинными атеистами. Сами они обычно характеризуют себя как ""духовных, но не религиозных"".
Так вот: на практике их духовная жизнь вполне подходит под описание обычного язычества. Собственно, в чем оно состоит. Язычники (что древние, что сегодняшние) верят, что:
1) Бог не отдельное от мира явление. Сам мир божественен. Все вокруг бог, и человек — тоже часть божества.
2) Поэтому смысл морали и ""духовных практик"" — не в том, чтобы ориентироваться на ""аскетический моральный стандарт, отвергающий этот мир"". А в том, чтобы найти гармонию — с самим собой и этим миром.
Автор издания полагает, что последний шаг, который остался десяткам миллионов американских язычников для того, чтобы создать ""настоящую религию пост-христианской Америки"", — это соединить свои бесчисленные верования с новой ""городской гражданской религией"", предлагающей строительство рая непосредственно тут, на земле — без всякого там ожидания Второго Пришествия.
Что имеется в виду под ""гражданской религией, строящей рай на земле""? Тут нужно кое-что объяснить. Автор все-таки пишет в передовой либеральной газете США. То есть прямо сказать, что речь о победоносной борьбе либералов против ""старой Америки"", не может.
По сути, в передовой газете сдержанно-нейтральным тоном описывается то, что другие американские СМИ описывают открытым текстом. А именно — что в нынешнем противостоянии ""трампистов"" и ""антитрампистов"" имеется огромный религиозный фактор.
Трамп, если говорить прямо, был избран белыми христианами. То есть тем тающим слоем граждан, которые когда-то были большинством. Они, собственно, и создали ту Америку, которая победила нас в холодной войне. Эти ""белые христиане"" трудились как заведенные; боялись коммунизма как безбожной идеологии, запрещающей свободу исповедания веры; стремились к обогащению как к доказательству того, что они действительно работают по-честному; и так далее.
Но их время проходит. Трамп — последний президент белого протестантского большинства, хотя бы потому, что оно уже не большинство (его было 50 процентов в 2003 году и 45 процентов — в 2017-м).
А противостоят ему не столько религиозные меньшинства, которых вместе несколько процентов, сколько передовые ""нерелигиозные духовные горожане"". Те, которые постигают себя на курсах йоги и борются за права индюшек на фермах, осведомлены об экологических угрозах, а главное — требуют восстановления социальной справедливости в отношении расовых и гендерных меньшинств, женщин и иммигрантов. А заодно толстяков, нервнобольных и наркоманов — они ведь тоже ""стигматизированы"" и потому не могут самовыразиться в этом обществе.
На Западе этих воинов справедливости принято именовать левыми, но это не должно вводить в заблуждение. Нашему советскому варианту социалистической морали, преклонявшейся перед созидательным трудом на благо других, гораздо ближе презираемая ныне религия ""старой Америки"". В передовых же гражданах США левого — только уверенность, что рай на земле действительно можно построить. Методы строительства и сам характер этого рая вызвали бы у советского человека 1950-60-х годов отторжение и легкий ужас. Потому что путь видится не в адаптации всех граждан к нормальной социальной жизни, а, наоборот, в сломе социальных норм об колено и их адаптации к разнообразным запросам, амбициям, фантазиям и просто неврозам ""передовых людей"".
И да, эта передовая ""гражданская религия"" органично рифмуется с тем, что западные консерваторы называют новым язычеством. Оно ведь тоже ищет рай в гармонии с миром. Тот факт, что в ходе кампании #MeToo, направленной на трамповского чиновника Бретта Кавано, некие ведьмы-феминистки всерьез колдовали против него, — неслучайно никого в самой Америке не удивил. И вообще, как честно признают даже представители меньшинств, быть консерватором в Америке сейчас — значит быть гонимым. И гонителями выступают именно носители передовой веры.
...Кстати, именно религиозным характером ""холодной гражданской"", идущей в США, объясняется один странный эффект. Его социологи начали наблюдать еще в прошлом году и продолжают наблюдать по сей день.
А именно: среди республиканцев непрерывно растут симпатии к России в целом и В. В. Путину в частности — несмотря на почти вековую привычку бояться и ненавидеть Soviet Russia. Как в американской, так и в российской передовой прессе этот феномен принято описывать в издевательских тонах. Вы поглядите, у нашего руководства нашелся союзничек — темное американское быдло, алабамский уралвагонзавод и тамошние борцы с тлетворным влиянием Голливуда.
Но это ""темное быдло"", повторим, — остатки именно той Америки, что в свое время победила СССР. И если об этом помнить, то его симпатии к сегодняшней России выглядят уже не такими смешными. Ведь сейчас эти люди видят, как их, в свою очередь, атакует на собственной земле уже не советское ""безбожие"", а куда более древний исторический противник христианства.",14/12/18,,,,https://ria.ru/20181213/1547896590.html,Fake,https://theins.ru/antifake/131958,США
21,ФИФА признала «Лужники» лучшим стадионом в мире,"Как рассказал глава столичного департамента строительства Андрей Бочкарёв, столь высоко оценили стадион эксперты ФИФА.
Бочкарёв добавил, что «Лужники» приняли «чемпионат мира по футболу на высшем уровне», а также подчеркнул, что во время реконструкции стадион проверили 50 делегаций подразделений ФИФА, а все замечания устранялись в кратчайшие сроки, сообщает агентство «Москва».
Напомним, стадион «Лужники» был открыт после реконструкции в ноябре 2017 года. А в этом году стадион стал главной ареной чемпионата мира по футболу. В частности, именно «Лужники» принимали матч открытия ЧМ-2018 и финал мундиаля.",12/12/2018,,,,https://www.ntv.ru/novosti/2121120/,Fake,https://theins.ru/antifake/131802,Спорт
22,Украина разорвала договор о дружбе с Россией и признала солдат нацистских украинских формирований героями,"Украина на этой неделе дошла до логической точки своего развития. С одной стороны, Верховная Рада разорвала договор о дружбе с Россией, с другой – присягнула на верность и дружбу с нацистами – признала солдат нацистских украинских формирований не национальным позором, преступниками – а, наоборот, героями. Порошенко уже фотографируется с людьми в нацистской форме.
По этому поводу хочу сказать следующее. Даже назло нам, москалям, даже за ради главной, самой сладкой украинской национальной мечты – быть це Европой и за копейки драить полы в соседней Польше – не надо этого делать. Я прекрасно знаю, как работает этот оксюморон – парадоксальная украинская логика времен Майдана. К примеру, так. Прибалтика прославила своих нацистов назло России? Прославила. Отношения испортила? Испортила. Что им Россия, кроме угроз сделала в ответ? Ничего. А полы мыть в Европе пустили? Сверкают полы после этого. Вывод? Так и нам надо, будем це Европой.
Знаю, что не буду услышан, но все-таки скажу. Не надо. Не надо вам так. Вы, конечно, своего добьетесь. Пустят вас с уткой и щеткой в Европу. Но с одной поправкой – размером вы будете с Литву, которая на этой неделе ввела новые санкции против России, которые никто не заметил, но все же. Или меньше размером, чем Литва. Понятно, что все это неизбежно. Но вы ее, эту неизбежность изо всех сил и природного упрямства приближаете. ",9/12/2018,,,,https://www.1tv.ru/news/2018-12-09/356998-ukraina_razorvala_dogovor_o_druzhbe_s_rossiey_i_priznala_soldat_natsistskih_ukrainskih_formirovaniy_geroyami,Half-Fake,https://theins.ru/antifake/131404,Украина
